du_id,annee,jours_tot,fte_moyen,depasse_215,attente_th,en_manque
4,2024,98.9,0.63,FALSE,135.45,TRUE
8,2024,231.1,0.5,TRUE,107.5,FALSE
10,2024,209.4,0.6,FALSE,129,FALSE
11,2024,746.2,1,TRUE,215,FALSE
12,2024,530.1,1,TRUE,215,FALSE
15,2024,114.1,0.5,FALSE,107.5,FALSE
18,2024,133.5,0.6,FALSE,129,FALSE
21,2024,630.7,1,TRUE,215,FALSE
22,2024,570,1,TRUE,215,FALSE
24,2024,945.7,1,TRUE,215,FALSE
27,2024,1020.4,1,TRUE,215,FALSE
30,2024,284.2,0.775,TRUE,166.625,FALSE
32,2024,397.6,0.75,TRUE,161.25,FALSE
35,2024,165.5,0.35000000000000003,FALSE,75.25000000000001,FALSE
37,2024,366.7,0.8,TRUE,172,FALSE
53,2024,843.5,0.51,TRUE,109.65,FALSE
54,2024,207.6,0.45166666666666666,FALSE,97.10833333333333,FALSE
72,2024,229.8,0.5,TRUE,107.5,FALSE
83,2024,275.4,0.75,TRUE,161.25,FALSE
90,2024,53.4,0.49,FALSE,105.35,TRUE
97,2024,0,1,FALSE,215,TRUE
98,2024,0,1,FALSE,215,TRUE
110,2024,470.7,0.75,TRUE,161.25,FALSE
112,2024,450.4,0.9529411764705882,TRUE,204.88235294117646,FALSE
113,2024,217.4,0.44999999999999996,TRUE,96.74999999999999,FALSE
124,2024,317.5,0.5,TRUE,107.5,FALSE
126,2024,275.2,0.63,TRUE,135.45,FALSE
132,2024,830.1,1,TRUE,215,FALSE
134,2024,342.8,0.5416666666666666,TRUE,116.45833333333333,FALSE
145,2024,425.8,0.9,TRUE,193.5,FALSE
147,2024,664,1,TRUE,215,FALSE
149,2024,127.5,0.55,FALSE,118.25000000000001,FALSE
152,2024,286,0.7692307692307693,TRUE,165.3846153846154,FALSE
164,2024,560.1,0.7,TRUE,150.5,FALSE
166,2024,214.2,1,FALSE,215,FALSE
167,2024,97.8,0.8,FALSE,172,TRUE
169,2024,673.8,0.875,TRUE,188.125,FALSE
179,2024,437.7,0.808,TRUE,173.72,FALSE
182,2024,440,1,TRUE,215,FALSE
183,2024,191.2,0.611111111111111,FALSE,131.38888888888889,FALSE
184,2024,263.1,0.525,TRUE,112.875,FALSE
185,2024,379.9,0.92,TRUE,197.8,FALSE
187,2024,35.5,0,FALSE,0,FALSE
189,2024,172,0.8,FALSE,172,FALSE
191,2024,528.9,1,TRUE,215,FALSE
193,2024,348.2,0.75,TRUE,161.25,FALSE
198,2024,650.4,1,TRUE,215,FALSE
204,2024,316.6,1,TRUE,215,FALSE
206,2024,568.6,0.5,TRUE,107.5,FALSE
213,2024,355.1,0.5,TRUE,107.5,FALSE
220,2024,368.8,0.85,TRUE,182.75,FALSE
224,2024,810.6,1,TRUE,215,FALSE
225,2024,420.8,0.7000000000000001,TRUE,150.50000000000003,FALSE
227,2024,429.9,1,TRUE,215,FALSE
228,2024,435.9,1,TRUE,215,FALSE
230,2024,411.8,1,TRUE,215,FALSE
231,2024,259.9,1,TRUE,215,FALSE
278,2024,731.9,0.75,TRUE,161.25,FALSE
279,2024,628.8,0.5,TRUE,107.5,FALSE
280,2024,409.2,0.5,TRUE,107.5,FALSE
284,2024,484.3,1,TRUE,215,FALSE
289,2024,415,0.9416666666666667,TRUE,202.45833333333334,FALSE
293,2024,48,1,FALSE,215,TRUE
294,2024,478.7,0.9666666666666667,TRUE,207.83333333333334,FALSE
295,2024,155.9,0.65,FALSE,139.75,FALSE
296,2024,219.6,1,TRUE,215,FALSE
297,2024,471.1,1,TRUE,215,FALSE
298,2024,217,1,TRUE,215,FALSE
300,2024,394,1,TRUE,215,FALSE
301,2024,265,1,TRUE,215,FALSE
302,2024,11.1,,FALSE,,
304,2024,8,,FALSE,,
