du_id,dwt_id,dwt_date,hours
110,238605,2024-01-02,NA
110,244176,2024-01-22,NA
110,244177,2024-01-23,NA
110,244178,2024-01-24,NA
110,244179,2024-01-25,NA
110,244180,2024-01-26,NA
110,244181,2024-01-29,NA
110,244182,2024-01-30,NA
110,244183,2024-01-31,NA
110,245700,2024-03-27,NA
110,245701,2024-03-28,NA
110,245702,2024-04-02,NA
110,264154,2024-05-02,NA
110,247804,2024-05-03,NA
110,245703,2024-05-27,NA
110,245704,2024-05-28,NA
110,245705,2024-05-29,NA
110,245706,2024-05-31,NA
110,254909,2024-08-14,NA
110,254910,2024-08-15,NA
110,255006,2024-08-16,NA
110,254548,2024-08-19,NA
110,254549,2024-08-20,NA
110,254550,2024-08-21,NA
110,254551,2024-08-22,NA
110,254552,2024-08-23,NA
110,246324,2024-08-26,NA
110,246325,2024-08-27,NA
110,246326,2024-08-28,NA
110,246327,2024-08-29,NA
110,246328,2024-08-30,NA
110,254553,2024-09-30,NA
110,254554,2024-10-01,NA
110,254555,2024-10-02,NA
110,254556,2024-10-04,NA
110,1000582000,2024-10-07,NA
110,1000579000,2024-10-08,NA
110,1000591000,2024-10-09,NA
110,1000591001,2024-10-10,NA
110,1000591002,2024-10-11,NA
110,1000609000,2024-10-14,NA
110,1000609001,2024-10-15,NA
110,1000609002,2024-10-16,NA
110,1000609003,2024-10-17,NA
110,1000609004,2024-10-18,NA
110,1000606000,2024-10-21,NA
110,1000606001,2024-10-22,NA
110,1000606002,2024-10-23,NA
110,1000606003,2024-10-24,NA
110,1000606004,2024-10-25,NA
110,1000636000,2024-10-28,NA
110,1000636001,2024-10-29,NA
110,1000636002,2024-10-30,NA
110,1000636003,2024-10-31,NA
110,1000636007,2024-11-04,NA
110,1000636008,2024-11-05,NA
110,1000636009,2024-11-06,NA
110,262338,2024-12-23,NA
110,262339,2024-12-24,NA
110,262340,2024-12-27,NA
110,262341,2024-12-30,NA
110,262342,2024-12-31,NA
110,265523,2025-01-02,NA
110,265524,2025-01-03,NA
110,265940,2025-01-24,4
110,266066,2025-01-27,6
110,266253,2025-01-30,5.5
110,266337,2025-01-31,4.5
110,267386,2025-02-14,5
110,267626,2025-02-17,6
110,267814,2025-02-20,7.5
110,268233,2025-02-26,6.5
110,268374,2025-02-27,5.5
110,268450,2025-02-28,6.5
110,269466,2025-03-10,NA
110,269458,2025-03-13,6.25
110,269529,2025-03-14,5
110,270051,2025-03-21,7
110,270152,2025-03-24,6
110,270282,2025-03-25,7.25
110,270441,2025-03-27,6.25
110,270499,2025-03-28,4
110,270586,2025-03-31,6.25
110,271641,2025-04-10,6
110,271702,2025-04-11,4.25
110,272020,2025-04-16,NA
110,262362,2025-04-17,NA
110,272697,2025-04-25,4
110,272698,2025-04-28,6
110,273582,2025-05-12,6.75
110,273584,2025-05-13,6.5
110,274863,2025-05-22,6
110,274952,2025-05-23,3.75
110,275103,2025-05-26,6
110,275195,2025-05-27,7
110,275282,2025-05-28,7
110,275327,2025-05-30,4
110,275657,2025-06-05,6.75
110,273731,2025-06-10,NA
110,273732,2025-06-11,NA
110,273733,2025-06-12,NA
110,273734,2025-06-13,NA
110,273735,2025-06-16,NA
110,273736,2025-06-17,NA
110,273737,2025-06-18,NA
110,273738,2025-06-20,NA
110,276660,2025-06-23,6
110,276661,2025-06-24,7
110,276803,2025-06-25,7.75
110,276838,2025-06-26,6.25
110,276960,2025-06-27,5
110,277028,2025-06-30,6.25
110,277271,2025-07-01,7
110,277396,2025-07-02,8.250000000000002
110,273739,2025-07-03,NA
110,273740,2025-07-04,NA
