du_id,entity_code,month,costs,sec,hours
8,2016,2024-05-01T00:00:00Z,2606.02,,0
15,2017,2024-12-01T00:00:00Z,1243.3,,0
110,2017,2024-10-01T00:00:00Z,5419.75,,0
112,2016,2024-12-01T00:00:00Z,3806.9500000000003,,0
126,2017,2024-12-01T00:00:00Z,2373.7799999999997,,0
145,2016,2024-12-01T00:00:00Z,2566.4100000000003,,0
149,2016,2024-08-01T00:00:00Z,2168.14,,0
149,2016,2024-09-01T00:00:00Z,2098.2,,0
149,2016,2024-10-01T00:00:00Z,2168.14,,0
149,2016,2024-11-01T00:00:00Z,209.82000000000002,,0
152,2016,2024-12-01T00:00:00Z,789.66,,0
179,2016,2024-12-01T00:00:00Z,2111.8900000000003,,0
182,2016,2024-12-01T00:00:00Z,2360.22,,0
183,2016,2024-12-01T00:00:00Z,390.71999999999997,,0
184,2016,2024-03-01T00:00:00Z,62.71,,0
185,2016,2024-02-01T00:00:00Z,80,,0
187,2016,2024-09-01T00:00:00Z,610.71,,0
220,2016,2024-03-01T00:00:00Z,6035,,0
220,2016,2024-12-01T00:00:00Z,632.01,,0
224,2016,2024-12-01T00:00:00Z,1398.74,,0
225,2016,2024-12-01T00:00:00Z,1540.11,,0
227,2016,2024-12-01T00:00:00Z,490.88,,0
228,2017,2024-12-01T00:00:00Z,1700.98,,0
230,2016,2024-12-01T00:00:00Z,963.26,,0
289,2016,2024-12-01T00:00:00Z,2921.48,,0
295,2016,2024-12-01T00:00:00Z,1413.41,,0
296,2016,2024-12-01T00:00:00Z,1157.5,,0
297,2017,2024-12-01T00:00:00Z,2531.04,,0
302,2017,2024-03-01T00:00:00Z,250.19,,0
302,2017,2024-10-01T00:00:00Z,846.7800000000001,,0
304,2016,2024-03-01T00:00:00Z,1226.87,,0
306,2017,2024-12-01T00:00:00Z,2598.7599999999998,,0
317,2016,2024-12-01T00:00:00Z,4072.62,,0
319,2017,2024-04-01T00:00:00Z,609.43,,0
321,2016,2024-11-01T00:00:00Z,4053.61,,0
321,2016,2024-12-01T00:00:00Z,4882.48,,0
323,2016,2024-04-01T00:00:00Z,200,,0
323,2016,2024-12-01T00:00:00Z,697.5,,0
326,2017,2024-12-01T00:00:00Z,679.8599999999999,,0
332,2017,2024-06-01T00:00:00Z,4807.3,,0
332,2017,2024-12-01T00:00:00Z,2052.62,,0
333,2017,2024-03-01T00:00:00Z,615.8399999999999,,0
335,2017,2024-12-01T00:00:00Z,1188.1899999999998,,0
338,2017,2024-12-01T00:00:00Z,532.3,,0
342,2017,2024-12-01T00:00:00Z,147.43,,0
343,2017,2024-12-01T00:00:00Z,103.04,,0
