du_id,month,project_id,project,workpackage,hours,cost,pct_time
166,2018-06-01,319,PANBioRA,2203,106.25,NA,NA
166,2018-06-01,319,PANBioRA,2456,29.75,NA,NA
166,2018-06-01,319,PANBioRA,2457,29,NA,NA
166,2018-07-01,284,Enterprise Europe Network 2017 - 2018,571,24.75,NA,NA
166,2018-07-01,319,PANBioRA,2203,73.5,NA,NA
166,2018-07-01,319,PANBioRA,2456,47.5,NA,NA
166,2018-07-01,319,PANBioRA,2457,33.25,NA,NA
166,2018-07-01,375,IMG: MATTECO,2671,8,NA,NA
166,2018-08-01,284,Enterprise Europe Network 2017 - 2018,571,15.5,NA,NA
166,2018-08-01,319,PANBioRA,2203,86,NA,NA
166,2018-08-01,319,PANBioRA,2456,24.25,NA,NA
166,2018-08-01,319,PANBioRA,2457,58.25,NA,NA
166,2018-09-01,284,Enterprise Europe Network 2017 - 2018,571,33.5,NA,NA
166,2018-09-01,319,PANBioRA,2203,74.75,NA,NA
166,2018-09-01,319,PANBioRA,2456,15.5,NA,NA
166,2018-09-01,319,PANBioRA,2457,24.75,NA,NA
166,2018-10-01,284,Enterprise Europe Network 2017 - 2018,571,8,NA,NA
166,2018-10-01,319,PANBioRA,2203,55.5,NA,NA
166,2018-10-01,319,PANBioRA,2456,36.5,NA,NA
166,2018-10-01,319,PANBioRA,2457,23.5,NA,NA
166,2018-11-01,284,Enterprise Europe Network 2017 - 2018,571,56.25,NA,NA
166,2018-11-01,319,PANBioRA,2203,57.75,NA,NA
166,2018-11-01,319,PANBioRA,2456,30,NA,NA
166,2018-11-01,319,PANBioRA,2457,33,NA,NA
166,2018-12-01,284,Enterprise Europe Network 2017 - 2018,571,43.5,NA,NA
166,2018-12-01,319,PANBioRA,2203,21.5,NA,NA
166,2018-12-01,319,PANBioRA,2456,22.5,NA,NA
166,2018-12-01,319,PANBioRA,2457,41,NA,NA
166,2019-01-01,319,PANBioRA,2203,88.5,NA,NA
166,2019-01-01,319,PANBioRA,2456,7.5,NA,NA
166,2019-01-01,319,PANBioRA,2457,34.5,NA,NA
