dwp_id,dwp_title,dwp_start,dwp_end,dwp_eternal,dpr_id,dwp_target_seconds,dcc_id,dwp_id_parent,update_timestamp,dwp_uuid
3541,Flashphos - 2025,2025-01-01,2025-04-30,FALSE,571,,9,3536,2024-07-10T10:18:37Z,eea5a0cc-9cd4-491d-9b53-26df04906bc2
3536,FlashPhos - Gesamt,2021-05-01,2025-04-30,FALSE,571,23994000,9,,2024-07-10T10:18:37Z,a3138152-dd59-4955-be3a-4fbabe257544
3919,Aerosolfd-2024 -2025,2024-01-01,2025-04-30,FALSE,614,,9,,2024-07-10T10:18:37Z,58a96474-0d7c-4024-adb5-6984a5250f9b
4061,WP5 Diss/ Expl 24-25,2024-01-01,2025-04-30,FALSE,614,,9,3919,2024-07-10T10:18:37Z,aac1278f-0c93-486b-a37e-5925c3548473
4063,WP6 Communication 24-25,2024-01-01,2025-04-30,FALSE,614,,9,3919,2024-07-10T10:18:37Z,3ffa8ed3-4daa-4cca-815e-6891f8e2c544
4073,CLASCO Planung 2025,2025-01-01,2025-12-31,FALSE,649,,8,,2024-09-04T17:26:49Z,760caaa7-ea43-4050-9eae-72133ff2be0b
4074,WP0 Planung 2025,2025-01-01,2025-12-01,FALSE,653,,8,,2024-09-04T17:47:36Z,13bbe352-ee48-4303-81e5-d05ac1c9ff8d
4354,MAGICIAN 2024 PLANUNG,2024-01-01,2024-12-31,FALSE,700,,9,,2024-07-10T10:18:37Z,08530bdc-df92-48ea-b2e2-8542d644b564
4369,EEN 2025,2025-01-01,2025-06-30,FALSE,572,,8,,2024-07-10T10:18:37Z,d307a3d4-e761-41f3-90f7-37b4a3251d80
4374,WPx WM Budget (Green Deal) (2025),2025-01-01,2025-06-30,FALSE,572,,8,4369,2024-07-10T10:18:37Z,07e5fc34-f11c-48b2-9749-4c339a3c950d
4324,ADMIRAL PLANUNG 2025,2025-01-01,2025-12-31,FALSE,688,,9,,2024-09-04T17:16:26Z,15616e51-e6df-4022-87be-65ca0642da48
4377,WP3 Promotion and communication (ex events) (2025),2025-01-01,2025-06-30,FALSE,572,2510100,8,4369,2024-10-28T10:40:34Z,2539252f-b514-47cc-8cc7-e8671e7214b6
4376,WP2 Value added services (2025),2025-01-01,2025-06-30,FALSE,572,10876500,8,4369,2024-10-28T10:41:26Z,e734efa3-c921-41f0-8399-6ed6f80a31ef
4375,WP1 Project Management (2025),2025-01-01,2025-06-30,FALSE,572,837000,8,4369,2024-10-28T10:44:03Z,19a64fc6-ac10-45f7-b88e-3c61d6394758
4378,WP4 Capacity building (2025),2025-01-01,2025-06-30,FALSE,572,1254600,8,4369,2024-10-28T10:42:26Z,d3a38eee-760d-4e56-92d6-a30f8d9a8bfd
4506,EARASHI Planung 2025,2025-01-01,2025-12-31,FALSE,631,,9,,2024-09-04T17:29:53Z,be474c4f-9570-4762-9cdc-28a176bb9f51
4480,WP Planung 2025,2025-01-01,2025-12-31,FALSE,703,,8,,2024-09-04T17:56:41Z,a3b6cd17-89bc-45f3-b681-ba387d55b5cc
4468,Planung 2024,2024-01-01,2024-12-31,FALSE,660,,8,,2025-02-10T12:58:18Z,7b09b40e-69be-49f9-a8cb-d2109b9e6e18
4657,WP7 Management 24-25,2024-01-01,2025-04-30,FALSE,614,,9,3919,2024-07-10T10:18:37Z,bd950576-9011-4aec-9d3d-343f320ee859
4664,WP Planung 2024,2024-01-01,2024-12-31,FALSE,770,,9,,2024-07-10T10:18:37Z,0c54e35f-7a74-48c9-b9a0-331e4b54b790
4761,WP1,2024-01-01,2026-12-31,FALSE,714,2581200,8,,2024-08-19T15:28:40Z,170c56a0-3529-4b60-a91b-af6ed6f561c3
4764,WP6,2024-01-01,2026-12-31,FALSE,714,774000,8,,2024-08-19T15:30:43Z,08836ebc-9ea0-40ce-9cf2-a403ad6cdb0e
4792,RECENTRE Planung 2025,2025-01-01,2025-12-31,FALSE,781,,8,,2024-10-01T09:21:26Z,54614a45-27c4-42c2-97c1-db701850ebdd
4763,WP5,2024-01-01,2026-12-31,FALSE,714,3099600,8,,2025-06-05T12:13:43Z,8b88a7a5-b701-4e01-91d7-71ab32f4873c
4802,WP5 – Network coordination and quality management (2025),2025-01-01,2025-06-30,FALSE,572,1254600,8,4369,2024-10-28T10:44:15Z,ebd06836-22fa-4f64-8f79-95c874342f9d
4794,WP1 2024 - To engage SMEs to develop the transformation model,2024-09-01,2024-12-31,FALSE,781,1548000,8,,2024-11-15T08:14:36Z,ae6e7b2d-4d80-4ead-85dd-5a51050d79f8
4786,WP5 – Network coordination and quality management (2024),2024-01-01,2024-12-31,FALSE,572,1902600,8,4364,2024-11-19T07:43:13Z,d28a893d-6463-4354-a366-ff0e87229e57
4855,WP Planung 2025,2025-06-01,2025-12-31,FALSE,809,,8,,2025-01-13T17:23:01Z,ef4b9f69-f9de-49b8-af6e-fe126cf0fb5f
4924,WP2 2025 RP3 - Testing the methodology for a Manufacturing 5.0,2025-09-01,2025-12-31,FALSE,781,896400,8,,2025-05-20T06:39:19Z,50d70919-bb58-4905-9718-ad93b144b965
4923,WP1 2025 RP2 - To engage SMEs to develop the transformation model,2025-03-01,2025-08-31,FALSE,781,547200,8,,2025-05-20T06:38:21Z,8d8641fc-97fd-4860-8843-9cdd35406f0e
4804,WP2 2025 RP2 - Testing the methodology for a Manufacturing 5.0,2025-03-01,2025-08-31,FALSE,781,1076400,8,,2025-05-20T06:38:47Z,ec9c6d2e-2f44-4c57-b8b8-53f8bf05ee14
