dco_id,dco_start,dco_end,dco_hoursperdayx,du_id,dco_secondsperday,dco_hourlyrate,dcc_id,dco_vacation,dco_seconds0,dco_seconds1,dco_seconds2,dco_seconds3,dco_seconds4,dco_seconds5,dco_seconds6,dco_vacperday
456,2015-02-01,2016-01-31,,49,21600,0.00,2,30,21600,21600,21600,21600,21600,,,6
424,2014-04-01,2017-02-28,,94,28800,0.00,1,30,28800,28800,28800,28800,28800,,,6
503,2017-05-01,2017-06-30,,18,9000,0.00,8,,,12000,12000,,12000,,,6
299,2012-07-01,2013-12-31,,45,28800,37.05,1,30,28800,28800,28800,28800,28800,,,6
301,2012-07-01,2013-06-30,,61,28800,35.43,1,30,28800,28800,28800,28800,28800,,,6
489,2017-01-01,2017-09-15,,120,14400,0.00,8,30,18000,18000,,18000,18000,,,6
502,2017-01-01,2017-10-31,,52,28800,0.00,1,30,28800,28800,28800,28800,28800,,,6
457,2015-04-01,2018-01-31,,45,28800,0.00,2,30,28800,28800,28800,28800,28800,,,6
513,2017-01-01,2100-12-31,,139,28800,0.00,1,6,28800,28800,28800,28800,28800,,,30
517,2017-01-01,2100-12-31,,142,28800,,,6,28800,28800,28800,28800,28800,,,30
519,2017-01-01,2100-12-31,,143,28800,,,6,28800,28800,28800,28800,28800,,,30
520,2017-01-01,2100-12-31,,144,28800,,,6,28800,28800,28800,28800,28800,,,30
523,2017-11-01,2017-12-31,,145,,,,6,,,,,,,,30
522,2017-11-01,2017-12-31,,110,22500,,,6,21600,28800,21600,18000,,,,6
529,2018-01-01,2100-12-31,,110,21600,,,6,21600,21600,21600,21600,21600,,,6
532,2018-01-01,2018-01-31,,152,14400,,,6,14400,14400,14400,14400,14400,,,6
507,2017-09-16,2017-12-31,,120,14400,0.00,8,30,18000,18000,18000,18000,,,,6
573,2019-03-15,2019-09-15,,177,28800,,,,28800,28800,28800,28800,28800,,,6
521,2017-11-01,2019-04-30,,62,20160,,,6,25200,25200,25200,25200,,,,6
509,2017-10-01,2018-06-30,,135,28800,0.00,8,30,28800,28800,28800,28800,28800,,,6
554,2018-06-18,2018-08-31,,8,14400,,,30,,24000,24000,,24000,,,6
538,2018-02-01,2018-06-30,,63,14400,,,6,15600,25200,15600,15600,,,,6
545,2018-04-01,2018-07-31,,161,20160,,,6,25200,25200,25200,25200,,,,6
558,2018-08-01,2100-12-31,,30,,,,,28800,14400,28800,7200,,,,6
560,2018-09-16,2018-09-30,,170,,,,,28800,28800,14400,,,,,6
540,2018-03-01,2018-03-31,,156,28800,,,6,28800,28800,28800,28800,28800,,,6
535,2018-01-01,2018-09-30,,120,16200,,,6,16200,16200,,16200,16200,,,6
500,2016-06-01,2017-06-30,,130,9000,0.00,2,30,19800,,,,19800,,,30
547,2018-07-01,2018-12-31,,135,21600,,,6,21600,21600,21600,21600,21600,,,6
534,2018-01-01,2019-01-31,,153,28800,,,6,28800,28800,28800,28800,28800,,,6
570,2019-03-01,2019-04-12,,175,28800,,,,28800,28800,28800,28800,28800,,,0
576,2019-04-01,2100-12-31,,179,28800,,,,28800,28800,28800,28800,28800,,,6
564,2019-03-01,2019-04-30,,118,115200,,,6,21600,21600,28800,21600,21600,,,6
568,2019-02-01,2019-06-30,,153,,,,,28800,28800,28800,28800,,,,6
543,2018-04-01,2019-05-15,,159,28800,,,6,28800,28800,28800,28800,28800,,,6
582,2019-06-01,2100-12-31,,182,28800,,,,28800,28800,28800,28800,28800,,,6
557,2018-07-01,2019-07-31,,63,,,,,28800,21600,28800,21600,,,,6
587,2019-07-01,2019-07-31,,153,18000,,,,18000,18000,18000,18000,18000,,,6
565,2019-01-07,2019-08-31,,172,28800,,,,28800,28800,28800,28800,28800,,,6
544,2018-04-01,2019-03-31,,160,28800,,,6,28800,28800,28800,28800,28800,,,6
548,2018-05-01,2019-08-31,,163,28800,,,6,28800,28800,28800,28800,28800,,,6
514,2017-01-01,2100-12-31,,140,28800,0.00,1,6,28800,28800,28800,28800,28800,,,30
518,2017-01-01,2100-12-31,,141,28800,,,6,28800,28800,28800,28800,28800,,,30
384,2013-10-01,2019-08-31,,7,28800,42.98,1,35,28800,28800,28800,28800,28800,,,7
501,2016-02-01,2018-08-31,,49,21600,0.00,2,35,21600,21600,21600,21600,21600,,,7
515,2017-01-01,2100-12-31,,136,28800,0.00,1,6,28800,28800,28800,28800,28800,,,30
417,2010-08-01,2011-01-31,,53,28800,30.00,2,30,28800,28800,28800,28800,28800,,,6
551,2018-07-01,2019-09-30,,165,28800,,,,28800,28800,28800,28800,28800,,,6
546,2018-04-01,2018-09-30,,162,6480,,,6,18000,14400,,,,,,6
524,2018-01-01,2019-10-08,,145,25920,,,6,25920,25920,25920,25920,25920,,,6
527,2017-08-01,2018-09-30,,148,7200,,,6,,,,,,,,6
531,2018-01-01,2019-09-30,,151,28800,,,6,28800,28800,28800,28800,28800,,,6
530,2018-01-01,2019-10-31,,150,28800,,,6,28800,28800,28800,28800,28800,,,6
539,2018-01-01,2020-01-05,,116,23040,,,6,28800,28800,28800,28800,,,,6
594,2019-10-09,2020-01-08,,145,16200,,,,,,16200,,16200,,,30
541,2019-05-01,2019-12-31,,41,28800,,,6,28800,28800,28800,28800,,,,6
586,2019-09-01,2020-01-12,,7,18000,,,6,18000,18000,18000,18000,18000,,,30
580,2019-05-01,2020-06-15,,180,,,,,,,,7200,25200,,,6
581,2019-05-16,2020-01-31,,181,,,,,10800,10800,,,,,,6
569,2019-03-01,2020-02-29,,174,28800,,,,28800,28800,28800,28800,28800,,,6
572,2019-03-01,2020-08-31,,176,,,,,,,,,,,,0
512,2017-01-01,2100-12-31,,138,28800,0.00,1,6,28800,28800,28800,28800,28800,,,30
588,2019-06-01,2019-06-30,,186,109800,,,,,,,,,,,6
555,2018-09-01,2020-01-31,,8,14400,,,30,24000,24000,24000,,,,,6
506,2017-07-01,2020-08-15,,133,28800,0.00,2,30,28800,28800,28800,28800,28800,,,6
561,2018-10-01,2020-08-31,,170,28800,,,,28800,28800,28800,28800,28800,,,6
563,2018-09-01,2020-12-31,,40,30600,,,,30600,30600,30600,30600,,,,6
567,2019-02-01,2021-04-30,,173,28800,,,,28800,28800,28800,28800,28800,,,6
574,2019-04-01,2021-03-31,,178,28800,,,,28800,28800,28800,28800,28800,,,6
550,2018-05-01,2021-03-31,,164,28800,,,,28800,28800,28800,28800,28800,,,6
583,2019-06-01,2021-05-09,,183,28800,,,,28800,28800,28800,28800,28800,,,6
516,2017-01-01,2100-12-31,,137,28800,0.00,1,6,28800,28800,28800,28800,28800,,,30
420,2014-03-01,2016-04-30,,52,28800,35.22,1,30,28800,28800,28800,28800,28800,,,6
474,2016-05-01,2016-12-31,,52,21600,0.00,1,30,21600,21600,21600,21600,21600,,,6
579,2020-01-01,2021-11-15,,41,28800,,,,,28800,28800,28800,28800,,,6
536,2018-01-08,2021-07-31,,154,28800,,,6,28800,28800,28800,28800,28800,,,6
571,2019-03-01,2020-12-31,,35,21600,,,,28800,14400,28800,14400,,,,6
566,2019-01-01,2022-01-31,,135,25200,,,,25200,25200,25200,25200,25200,,,6
553,2018-05-01,2022-04-30,,168,28800,,,,28800,28800,28800,28800,28800,,,6
559,2018-09-01,2019-08-31,,169,28800,,,,28800,28800,28800,28800,28800,,,6
542,2018-04-01,2019-03-31,,157,28800,,,6,28800,28800,28800,28800,28800,,,6
552,2018-06-01,2019-05-31,,166,28800,,,,28800,28800,28800,28800,28800,,,6
