n_id,dwp_id,du_id
1,2,7
197,9,4
866,132,34
4,5,8
246,10,22
248,11,4
249,11,7
8,6,7
252,13,37
255,14,8
11,7,7
1172,119,50
13,8,8
14,8,4
365,15,34
16,,8
203,36,34
367,15,21
19,15,8
20,19,8
198,9,36
369,18,21
23,22,12
371,22,11
230,47,37
205,38,34
256,14,4
28,8,13
408,15,27
30,14,13
1169,5,37
207,40,4
409,15,38
410,15,29
415,75,24
199,9,32
416,75,21
417,75,22
418,75,29
231,47,22
423,77,24
424,77,21
425,77,22
44,23,11
234,49,37
266,16,8
208,40,7
426,77,29
49,22,15
431,79,24
1175,122,50
267,16,24
432,79,21
433,79,22
55,19,16
434,79,29
200,9,22
58,22,7
201,9,11
235,49,22
212,27,18
62,3,4
213,27,37
64,22,4
439,16,12
441,17,12
443,39,13
445,37,13
69,20,17
238,51,37
217,29,37
268,16,23
73,16,10
74,19,10
75,20,10
76,13,18
269,16,41
78,29,18
218,29,22
447,36,13
1185,159,24
270,16,7
222,41,37
84,10,19
449,81,40
271,16,30
239,51,22
88,,20
450,81,7
451,81,21
91,8,21
452,81,30
453,81,27
454,81,38
455,81,29
223,41,22
97,14,22
98,17,22
99,20,22
100,27,22
101,,23
226,43,37
103,15,23
104,19,23
457,81,22
272,16,15
459,53,22
108,17,24
461,13,22
110,24,24
273,16,22
274,16,11
463,65,22
114,20,25
465,40,22
227,43,22
467,3,22
469,2,22
471,21,22
242,52,13
275,16,19
122,8,27
473,24,22
475,8,22
477,36,22
243,52,41
284,18,22
129,24,28
479,38,22
481,53,4
132,19,29
133,20,29
482,53,30
1575,189,21
287,22,37
288,22,23
484,53,32
487,83,13
488,83,22
1209,153,4
489,83,35
143,20,31
491,38,39
291,25,39
492,38,35
495,35,39
149,22,32
292,25,13
151,,33
293,25,11
153,8,33
154,19,33
297,31,39
298,31,13
299,31,22
300,31,35
305,56,24
306,56,32
307,56,22
496,35,35
163,22,35
164,25,35
165,26,35
497,37,39
498,37,35
499,36,39
308,56,11
313,58,24
171,,37
314,58,32
315,58,22
175,15,37
500,36,35
501,84,40
178,20,38
502,84,4
316,58,11
321,60,24
322,60,32
503,84,7
504,84,21
505,84,22
323,60,22
187,8,40
366,16,34
368,16,21
190,20,40
191,,41
202,35,34
370,17,21
372,32,18
373,32,14
196,34,7
204,37,34
206,39,34
209,16,37
211,17,37
214,28,18
215,28,37
216,28,22
1140,30,36
220,30,37
221,30,22
224,42,37
225,42,22
228,46,37
229,46,22
232,48,37
233,48,22
236,50,37
237,50,22
240,18,4
244,12,18
245,12,37
247,10,4
250,53,18
251,53,37
253,54,18
254,54,37
257,15,24
258,15,10
259,15,41
