dwt_id,du_id,dwt_date,dwt_start,dwt_end,work_secs
262363,110,2025-08-04,NA,NA,0
262364,110,2025-08-05,NA,NA,0
262365,110,2025-08-06,NA,NA,0
262366,110,2025-08-07,NA,NA,0
262367,110,2025-08-08,NA,NA,0
262368,110,2025-08-11,NA,NA,0
262369,110,2025-08-12,NA,NA,0
262370,110,2025-08-13,NA,NA,0
262371,110,2025-08-14,NA,NA,0
262372,110,2025-08-15,NA,NA,0
268801,164,2025-08-11,NA,NA,0
268802,164,2025-08-12,NA,NA,0
268803,164,2025-08-13,NA,NA,0
268804,164,2025-08-14,NA,NA,0
269187,132,2025-07-28,NA,NA,0
269188,132,2025-07-29,NA,NA,0
269189,132,2025-07-30,NA,NA,0
269190,132,2025-07-31,NA,NA,0
269191,132,2025-08-01,NA,NA,0
269192,132,2025-08-04,NA,NA,0
269193,132,2025-08-05,NA,NA,0
269194,132,2025-08-06,NA,NA,0
269195,132,2025-08-07,NA,NA,0
269196,132,2025-08-08,NA,NA,0
269197,132,2025-08-11,NA,NA,0
269198,132,2025-08-12,NA,NA,0
269199,132,2025-08-13,NA,NA,0
269200,132,2025-08-14,NA,NA,0
269201,132,2025-08-15,NA,NA,0
269202,132,2025-08-18,NA,NA,0
269203,132,2025-08-19,NA,NA,0
269204,132,2025-08-20,NA,NA,0
269205,132,2025-08-21,NA,NA,0
269206,132,2025-08-22,NA,NA,0
269207,132,2025-08-25,NA,NA,0
269208,132,2025-08-26,NA,NA,0
269209,132,2025-08-27,NA,NA,0
269210,132,2025-08-28,NA,NA,0
269211,132,2025-08-29,NA,NA,0
272049,83,2025-07-01,NA,NA,0
272050,83,2025-07-25,NA,NA,0
272051,83,2025-07-28,NA,NA,0
272052,83,2025-07-29,NA,NA,0
272053,83,2025-07-30,NA,NA,0
272054,83,2025-07-31,NA,NA,0
272055,83,2025-08-01,NA,NA,0
272056,83,2025-08-04,NA,NA,0
272057,83,2025-08-05,NA,NA,0
272058,83,2025-08-06,NA,NA,0
272059,83,2025-08-07,NA,NA,0
272060,83,2025-08-08,NA,NA,0
272061,83,2025-08-11,NA,NA,0
272062,83,2025-08-12,NA,NA,0
272063,83,2025-08-13,NA,NA,0
272064,83,2025-08-14,NA,NA,0
272065,83,2025-08-15,NA,NA,0
272066,83,2025-08-18,NA,NA,0
273739,110,2025-07-03,NA,NA,0
273740,110,2025-07-04,NA,NA,0
277271,110,2025-07-01,1970-01-01T06:50:00Z,1970-01-01T13:50:00Z,25200
277243,37,2025-07-01,1970-01-01T08:30:00Z,1970-01-01T15:00:00Z,18900
277287,11,2025-07-01,1970-01-01T08:00:00Z,1970-01-01T17:15:00Z,30600
277326,182,2025-07-02,1970-01-01T08:30:00Z,1970-01-01T17:00:00Z,28800
277324,182,2025-07-01,1970-01-01T09:00:00Z,1970-01-01T17:30:00Z,27000
277396,110,2025-07-02,1970-01-01T06:50:00Z,1970-01-01T15:40:00Z,29700
277426,11,2025-07-03,1970-01-01T08:00:00Z,1970-01-01T17:00:00Z,28800
277452,37,2025-07-02,1970-01-01T08:30:00Z,1970-01-01T17:15:00Z,27000
277415,11,2025-07-02,1970-01-01T07:00:00Z,1970-01-01T18:15:00Z,36000
277480,182,2025-07-03,1970-01-01T09:00:00Z,1970-01-01T17:30:00Z,27000
277451,37,2025-07-03,1970-01-01T10:30:00Z,1970-01-01T17:30:00Z,18900
1000969004,132,2025-07-01,NA,NA,0
1000969005,132,2025-07-02,NA,NA,0
1000969006,132,2025-07-03,NA,NA,0
1000969007,132,2025-07-04,NA,NA,0
1000969010,132,2025-07-07,NA,NA,0
1000969011,132,2025-07-08,NA,NA,0
1000969012,132,2025-07-09,NA,NA,0
1000969013,132,2025-07-10,NA,NA,0
1000969014,132,2025-07-11,NA,NA,0
277550,11,2025-07-04,1970-01-01T07:30:00Z,1970-01-01T12:00:00Z,16200
277596,37,2025-07-04,1970-01-01T09:00:00Z,1970-01-01T13:00:00Z,14400
277619,37,2025-07-07,1970-01-01T08:00:00Z,1970-01-01T16:15:00Z,27000
277649,11,2025-07-07,1970-01-01T08:00:00Z,1970-01-01T18:30:00Z,35100
277776,37,2025-07-08,1970-01-01T08:45:00Z,1970-01-01T18:00:00Z,28800
277780,11,2025-07-08,1970-01-01T08:00:00Z,1970-01-01T19:00:00Z,36000
277965,11,2025-07-09,1970-01-01T08:00:00Z,1970-01-01T19:00:00Z,36000
278084,11,2025-07-10,1970-01-01T07:15:00Z,1970-01-01T18:00:00Z,36000
278130,11,2025-07-11,1970-01-01T08:00:00Z,1970-01-01T17:00:00Z,28800
278224,11,2025-07-14,1970-01-01T08:00:00Z,1970-01-01T17:45:00Z,33300
278347,132,2025-07-21,NA,NA,0
278348,132,2025-07-22,NA,NA,0
278349,132,2025-07-23,NA,NA,0
278350,132,2025-07-24,NA,NA,0
278351,132,2025-07-25,NA,NA,0
278395,11,2025-07-15,1970-01-01T08:00:00Z,1970-01-01T17:00:00Z,29700
278474,182,2025-07-04,1970-01-01T09:00:00Z,1970-01-01T17:00:00Z,27000
278475,182,2025-07-11,1970-01-01T09:00:00Z,1970-01-01T18:00:00Z,28800
278476,182,2025-07-16,1970-01-01T08:45:00Z,1970-01-01T17:00:00Z,27900
278477,182,2025-07-15,1970-01-01T09:00:00Z,1970-01-01T17:00:00Z,27000
278478,182,2025-07-14,1970-01-01T08:00:00Z,1970-01-01T18:30:00Z,34200
278480,182,2025-07-07,1970-01-01T08:00:00Z,1970-01-01T18:00:00Z,32400
278481,182,2025-07-10,1970-01-01T08:45:00Z,1970-01-01T17:30:00Z,28800
278482,182,2025-07-08,1970-01-01T09:00:00Z,1970-01-01T17:00:00Z,27000
278483,182,2025-07-09,1970-01-01T08:45:00Z,1970-01-01T17:30:00Z,28800
278595,11,2025-07-16,NA,NA,0
278576,11,2025-07-17,1970-01-01T07:45:00Z,1970-01-01T17:45:00Z,32400
278659,37,2025-07-14,1970-01-01T10:00:00Z,1970-01-01T16:00:00Z,18000
278660,37,2025-07-15,1970-01-01T08:45:00Z,1970-01-01T17:00:00Z,26100
278661,37,2025-07-16,1970-01-01T08:00:00Z,1970-01-01T15:00:00Z,21600
278635,11,2025-07-18,1970-01-01T07:45:00Z,1970-01-01T15:30:00Z,26100
278656,37,2025-07-09,1970-01-01T08:30:00Z,1970-01-01T16:00:00Z,23400
278657,37,2025-07-10,1970-01-01T08:15:00Z,1970-01-01T17:00:00Z,27900
278658,37,2025-07-11,1970-01-01T09:00:00Z,1970-01-01T15:00:00Z,18000
278662,37,2025-07-17,1970-01-01T08:00:00Z,1970-01-01T16:00:00Z,25200
278663,37,2025-07-18,1970-01-01T08:30:00Z,1970-01-01T16:00:00Z,21600
278994,110,2025-07-21,1970-01-01T08:00:00Z,1970-01-01T14:00:00Z,21600
279059,182,2025-07-17,1970-01-01T08:45:00Z,1970-01-01T16:00:00Z,24300
279060,182,2025-07-18,1970-01-01T08:45:00Z,1970-01-01T17:30:00Z,29700
279061,182,2025-07-21,1970-01-01T08:00:00Z,1970-01-01T18:15:00Z,33300
279162,11,2025-08-25,NA,NA,0
279163,11,2025-08-26,NA,NA,0
279164,11,2025-08-27,NA,NA,0
279165,11,2025-08-28,NA,NA,0
279166,11,2025-08-29,NA,NA,0
279198,11,2025-07-22,1970-01-01T09:15:00Z,1970-01-01T18:15:00Z,29700
279200,11,2025-07-21,1970-01-01T07:45:00Z,1970-01-01T17:15:00Z,31500
279263,11,2025-07-23,1970-01-01T08:00:00Z,1970-01-01T16:45:00Z,30600
279278,182,2025-07-22,1970-01-01T08:00:00Z,1970-01-01T17:30:00Z,30600
279279,182,2025-07-23,1970-01-01T08:45:00Z,1970-01-01T18:45:00Z,32400
279282,11,2025-07-24,1970-01-01T07:15:00Z,1970-01-01T17:15:00Z,34200
