dpr_id,dpr_start,dpr_end,dpr_target_hours,dpr_title,dpr_blockbefore,dpr_number,dpr_funding_rate,dpr_virtual,dpr_dow,lpc_id,du_id,update_timestamp,dpr_uuid,main_dcc_number,extern_number
300,2017-01-01,2019-06-30,,DANTE Interreg,,720419,85,f,,10,63,2024-07-10 10:16:51+00,0755ae5c-e6d6-4957-9f8c-7bea6c4d099f,,
194,,,,KFZ Norbert Höptner,,720365,,t,,,,2024-07-10 10:16:51+00,ca0b10c9-cf86-4fc3-ba66-48f2e334bd76,,
441,2019-01-23,2019-04-23,,EU-KONFORM: H2VALLEY Antrag,,720558,100,f,,4,124,2024-07-10 10:16:51+00,d1cc2c04-27df-4399-a849-6a07521171ab,,
195,2013-11-01,2015-12-31,,Antragsberatung Wallenrodt,,720328,,f,,,,2024-07-10 10:16:51+00,23267035-5794-42da-9ebb-1e65e3fff5d0,,
91,2010-11-15,2014-12-31,,Concerto Premium,,259120,,f,,,12,2024-07-10 10:16:51+00,ce171e43-ec7a-4c1d-9167-0ba6a7c75651,,
306,2017-01-01,2017-12-31,,CI2B 2017 WM,,720425,100,f,,,27,2024-07-10 10:16:51+00,6210c714-f078-436e-ab9f-dc79fefbba23,,
309,2017-09-01,2020-08-31,,INVITE,,720428,100,f,,8,145,2024-07-10 10:16:51+00,d5e313ee-4e94-4547-af54-da20b10a9d5c,,
209,,,,Kfz Höptner,,65079,,t,,,,2024-07-10 10:16:51+00,03ac60fb-cb51-4b73-a2f4-e74d99a298e7,,
212,,,,Kfz Herrmann,,720333,,t,,,,2024-07-10 10:16:51+00,b6a0e61f-0bf3-43e0-a666-f270ec257a40,,
215,,,,Auslagenersatz (Kreativwirtschaft),,720367,,t,,,,2024-07-10 10:16:51+00,ed6ab94f-e2ee-4f0b-bb24-b41b529116d8,,
114,2011-10-01,2013-09-30,,TANOCOMP,,147426,75,f,,,,2024-07-10 10:16:51+00,f8a201e6-4139-4762-8af4-d2f576e71a31,,
111,2011-09-01,2015-09-30,,Interreg IV Oberrhein,,413300,,f,,,,2024-07-10 10:16:51+00,54a941f2-9dad-4193-9426-4f74fde1601e,,
224,2013-12-11,2013-12-11,,DanuClus Veranstaltung,,720326,,f,,,,2024-07-10 10:16:51+00,150ab0d5-d4b0-4e8e-851e-6963135ff9b0,,
225,,,,Wirtschaftsförderung Main-Tauber,,97941,,t,,,,2024-07-10 10:16:51+00,ca783407-b553-44c5-b57f-85cd91f56d91,,
229,,,,Veranstaltung 11.12.2009,,111209,,t,,,,2024-07-10 10:16:51+00,fc8fc8d3-1eb5-459c-9a06-ddbabfd70084,,
231,,,,SEZ-Jubiläum 2010,,140410,,t,,,,2024-07-10 10:16:51+00,0d1d8349-8550-440c-bc86-5c8aa6bd3816,,
232,,,,Gemeinnützige Kleinprojekte,,201202,,t,,,,2024-07-10 10:16:51+00,13590a06-eaef-42c4-832e-594fc9e5a1a5,,
235,,,,Sibe Zertifikatslehrgang,,720345,,t,,,,2024-07-10 10:16:51+00,de9acc7b-bfc6-497e-b86c-d3c2442fb541,,
236,,,,Projekt Papyrus,,466181,,t,,,,2024-07-10 10:16:51+00,1b219cd5-6f7c-43f2-9cf7-65595ff73319,,
268,2016-01-01,2016-06-30,,CI2B 2016 MFW,,720388,100,f,,,73,2024-07-10 10:16:51+00,2cebc291-19a0-43bf-9b7c-195564faf508,,
241,,,,Broschüre - DanuClus,,720324,,t,,,,2024-07-10 10:16:51+00,1a23a644-a1f1-48ec-ac89-05c32764219f,,
274,2016-01-01,2016-12-31,,Capnomed GmbH,,720392,100,f,,,88,2024-07-10 10:16:51+00,4d0ad542-b8b0-4893-8cd9-7cbcae54b35a,,
276,2016-02-01,2016-12-31,,Leichtbau BW - Antragstellung,,720394,100,f,,,11,2024-07-10 10:16:51+00,2ce181cf-1db9-49f8-9ca6-7ba81440cc53,,
286,2017-01-01,2018-12-31,,BW KAM 3,,720404,100,f,,8,37,2024-07-10 10:16:51+00,44fad3ab-ebca-434d-a6db-598812a0dcaf,,
299,2017-01-01,2018-12-31,,DTC Maribor,,720418,100,f,,11,83,2024-07-10 10:16:51+00,b1c2927b-dddc-4c7d-8f09-9e491edc11ea,,
390,2019-01-01,2020-12-31,,WM KMU Unterstützung 2019-2020,,720507,100,f,,14,73,2024-07-10 10:16:51+00,32a9ffaf-5d99-4cf7-aeaa-9120e0084c57,,
107,2011-09-01,2014-02-28,,alps4eu,,173111,76,f,,,,2024-07-10 10:16:51+00,20dd9341-d4b7-4b40-af02-d168b2e9eebf,,
242,2011-07-01,2013-06-30,,MobilViz,,666666,,f,,,,2024-07-10 10:16:51+00,45c5bfcc-fc1c-432e-a815-c48d38010edd,,
243,2013-01-01,2013-03-01,,Dalim Antragsberatung,,720325,,f,,,,2024-07-10 10:16:51+00,b6b596e0-d219-4d76-91fc-682ac3e14c86,,
244,,,,Unbekannt,,183912,,t,,,,2024-07-10 10:16:51+00,0f8b12d2-83b8-43bb-b9c6-2d02eb19f709,,
248,,,,Unbekannt,,577215,,t,,,,2024-07-10 10:16:51+00,00cd2273-39be-432f-bea9-f4ec7489600d,,
252,,,,Unbekannt,,150410,,t,,,,2024-07-10 10:16:51+00,b7e04f8b-f46f-4fef-8f0a-9aa563a36300,,
200,2015-01-01,2016-12-31,,BW KAM 2,,720371,100,f,,,37,2024-07-10 10:16:51+00,c6ec94ef-7011-45bc-a8d5-40edff61c1b2,,
289,2016-01-01,2016-12-31,,MWK AK-EU,,720407,100,f,,,97,2024-07-10 10:16:51+00,c850be17-2830-4ac7-9117-22e51e2742d6,,
279,2016-01-01,2016-12-31,,Antragstellung NMI,,720397,100,f,,,23,2024-07-10 10:16:51+00,a0583cab-64b5-4ab0-a27d-3690a2d116e3,,
262,2016-03-01,2018-08-31,,AGRIFORVALOR,,720383,100,f,,8,41,2024-07-10 10:16:51+00,a58c50cf-efc8-4d1e-8cff-0c6bb269d9f5,,
282,2016-07-01,2019-06-30,,NUCLEI Interreg,,720400,80,f,,10,160,2024-07-10 10:16:51+00,0a4ba70d-b4dc-4637-b913-32b86ad4a1b1,,
285,2016-10-01,2019-03-31,,NEWBITS,,720403,100,f,,8,117,2024-07-10 10:16:51+00,7434e888-c5ce-4708-92b3-c681dbf69f6a,,
399,2018-10-15,2018-11-30,,TRAINING: Antragstellung & PM Donauländer,,720516,100,f,,6,12,2024-07-10 10:16:51+00,61eb2045-90ab-43c2-802f-63a07e9cd1e8,,
193,2015-01-01,2015-12-31,,Parlamentarischer Abend 11.03.2015,,720360,,f,,,11,2024-07-10 10:16:51+00,9905eed8-88d9-4617-a78f-677717bb28f8,,
275,2016-01-01,2018-12-31,,Expertentätigkeit,,720393,100,f,,17,,2024-07-10 10:16:51+00,31806de5-36dd-4463-bb81-2e22888e1def,,
258,2016-01-01,2018-02-28,,RespiceSME,,720379,100,f,,8,33,2024-07-10 10:16:51+00,b4bb6202-e934-4d12-8f31-93eae52cc9cf,,
