dwp_id,dwp_title,dwp_start,dwp_end,dwp_eternal,dpr_id,dwp_target_seconds,dcc_id,dwp_id_parent,update_timestamp,dwp_uuid
84,Mismec,2005-01-01,2006-12-31,f,37,,,,2024-07-10 10:18:37,bd1a2301-ec2c-402f-9997-2b29ad551db7
102,WP6 Quality and Evaluation,2007-01-01,2008-12-31,f,40,504000,,,2024-07-10 10:18:37,7de5ab98-b06a-40db-9d25-d981d91d2b2a
155,C,2008-01-01,2009-06-30,f,56,11160000,,,2024-07-10 10:18:37,07273354-68a2-4209-a20e-97b22937e7ce
17,WP3 Monitor + Report,2006-04-04,2007-04-03,f,15,2160000,,,2024-07-10 10:18:37,e707635e-83da-4379-804b-7385a0d5fe5c
81,Hauptprojekt,2006-01-01,2007-12-31,f,36,4896000,,,2024-07-10 10:18:37,55db589a-2e3d-4ba6-81c4-529af372295f
121,WP TRAIN1 Multivariant production,2008-07-01,2011-06-30,f,41,2520000,,,2024-07-10 10:18:37,71e6220a-e965-4942-939e-7c1b13356bb6
126,WP 5 Dissemination,2005-12-18,2008-05-31,f,42,1080000,,,2024-07-10 10:18:37,105b0b04-657b-4788-8f83-05ff24570706
13,WP5 Support,2006-01-15,2007-09-15,f,13,1591200,,,2024-07-10 10:18:37,24921017-60bc-4494-a381-86cc07e8bbc3
9,Hauptpaket,2005-07-01,2006-10-31,f,9,5400000,,,2024-07-10 10:18:37,571d95b9-13a3-48cd-9b79-fc405c380f7b
63,WP3 Implementing Events,2006-09-01,2009-02-28,f,31,756000,,,2024-07-10 10:18:37,2e367d0f-9dea-4236-84fb-1de4dee98ea7
78,WP4 Improving,2006-06-01,2008-05-31,f,34,3600000,,,2024-07-10 10:18:37,724c0f7c-b21d-45ae-83bd-58205047ce78
18,WP4 Management,2006-04-04,2007-04-03,f,15,2160000,,,2024-07-10 10:18:37,8550bb54-9002-485b-b9bb-d066b3e02789
77,WP3 Enhancing,2006-06-01,2008-05-31,f,34,2880000,,,2024-07-10 10:18:37,51447c00-8cb9-4da0-953d-8b8517e0cffc
15,WP1 TTT+RTD exploit,2006-04-01,2007-04-03,f,15,29520000,,,2024-07-10 10:18:37,604397e7-2d75-4255-b8c9-06099410831d
6,WP1,2004-01-01,2007-04-03,f,4,,,,2024-07-10 10:18:37,6da2347c-540b-469d-bbd3-4f4f4805a8fa
7,WP2,2004-01-01,2007-04-03,f,4,,,,2024-07-10 10:18:37,d020b03b-8675-44f4-b27d-f84f0c0ddbb4
12,WP 2 Dissemination,2005-09-15,2008-04-14,f,13,3600,,,2024-07-10 10:18:37,c239acc3-9a1b-4b87-b0b0-f2e3bd607f29
41,WP1: Benchmarking,2006-05-01,2008-04-01,f,28,252000,,,2024-07-10 10:18:37,63f977dc-8ee2-4578-8ed9-061846a70a58
54,WP 7 Assessment,2006-09-15,2008-04-14,f,13,100800,,,2024-07-10 10:18:37,1e500f48-3ceb-4b94-b752-bd9f30d1bf5b
87,WP4,2006-11-01,2007-12-31,f,38,187200,,,2024-07-10 10:18:37,527a17f5-2eb2-49f3-a3ae-28f9548e8629
93,WP5 Dissemination,2006-12-01,2009-05-31,f,39,1386000,,,2024-07-10 10:18:37,8eae50b6-725f-47dd-811c-bd434ada23b4
14,Hauptprojekt,2005-06-01,2008-01-31,f,14,4032000,,,2024-07-10 10:18:37,596cab62-b43e-4d8a-a24b-18d9a9ca7e64
99,WP3 Reg. and Transregional Foresight,2007-01-01,2008-12-31,f,40,655200,,,2024-07-10 10:18:37,87babf94-3bed-48d2-bdf6-647baf438c71
79,WP5 Promotion results,2006-06-01,2008-05-31,f,34,1260000,,,2024-07-10 10:18:37,a2d3944c-167b-43f9-adb6-670214f5d58b
105,WP 2 Exchange of knowledge,2005-12-18,2007-06-17,f,42,360000,,,2024-07-10 10:18:37,d3dd7e7b-61f4-429e-8294-142be18016b1
186,WM Cluster 2009,2009-05-01,2009-12-31,f,68,360000,,,2024-07-10 10:18:37,15895132-39a3-407c-8101-873fd60eb141
42,WP2: Dev. Roadmaps,2006-10-01,2008-04-30,f,28,252000,,,2024-07-10 10:18:37,7df7c7de-1a81-4fdf-865a-88870248a8f8
90,WP2 Mentoring scheme,2006-03-01,2009-05-31,f,39,1764000,,,2024-07-10 10:18:37,e6ed3714-7c37-43e3-97a5-e4eac519e496
114,WP2 Promote Network,2007-04-04,2008-04-03,f,45,12600000,,,2024-07-10 10:18:37,df16e2e1-276c-49cc-89d8-ca848c64b3d4
131,Boost Biosystem,2007-07-01,2008-05-31,f,48,1080000,,,2024-07-10 10:18:37,b3c50ba5-48f3-45d5-992b-450adba656b9
96,WP5 Support,2007-06-01,2008-12-31,f,21,1008000,,,2024-07-10 10:18:37,2111588f-b094-44be-a779-eacf5fbcf8ee
108,Innopipe,2006-01-01,2008-12-31,f,44,,,,2024-07-10 10:18:37,d3bd00ce-a575-44bd-8236-4903260a54d3
111,Forstinno,2006-01-01,2008-12-31,f,44,,,,2024-07-10 10:18:37,16e62b93-6a60-40c6-b466-db891a623368
178,WP 6 stat. Analysis of 10 KAPPA Factors,2008-07-01,2011-06-30,f,62,756000,1,,2024-07-10 10:18:37,a3d9adac-72a7-4475-8e72-90fbb8b5c486
67,WP1a Management,2006-09-01,2009-02-28,f,31,1080000,,,2024-07-10 10:18:37,70164fb2-15e7-4d06-ac6a-9863171bf312
16,WP2 Promote Network,2006-04-04,2007-04-03,f,15,12600000,,,2024-07-10 10:18:37,b6b67ff1-306c-4d57-a674-cbc09cacd645
10,Hauptprojekt,2004-09-01,2006-12-31,f,11,2880000,,,2024-07-10 10:18:37,c43471ed-d104-4f02-974d-e2d16ef24d2a
66,WP1b Dissemination,2006-09-01,2009-02-28,f,31,252000,,,2024-07-10 10:18:37,7d6e39c2-e524-48f8-b0ae-3f4852f67eda
62,WP2 Preparing events,2006-09-01,2009-02-28,f,31,612000,,,2024-07-10 10:18:37,77378783-a5a0-4bd9-b796-e2fb2f0386d8
130,IRC STEZ Cofi 2007,2007-01-01,2008-12-31,f,47,,,,2024-07-10 10:18:37,643c27f2-39d5-433a-9818-0dff2765bc36
64,WP4 Assessment/Monitoring,2006-09-01,2009-02-28,f,31,144000,,,2024-07-10 10:18:37,3918b52a-7013-474f-9aac-9e88c6441c21
65,WP5 Follow-up,2006-09-01,2009-02-28,f,31,,,,2024-07-10 10:18:37,0b6a0bb2-96b7-4dcb-b0a2-1da8f3b2ad8a
168,We-Mentor Jahr 2,2008-06-01,2009-05-31,f,39,10800000,,,2024-07-10 10:18:37,29f351ce-e979-4dba-8bd1-58f32c3bfde6
43,WP3: Impl. Roadmaps,2006-12-01,2008-04-30,f,28,1814400,,,2024-07-10 10:18:37,f4dd888d-96d2-4af8-a5fa-896dd4bac419
80,WP6 Management,2006-06-01,2008-05-31,f,34,180000,,,2024-07-10 10:18:37,e40ad18d-1f0f-443b-acf0-0f0075bd4862
162,Jahr 3,2008-05-01,2009-04-30,f,28,5760000,,,2024-07-10 10:18:37,a2bf9bc5-20ea-4f86-b398-f2b4fed9de37
650,WP2 Community Building GmbH,2016-01-01,2017-01-31,,186,,8,,2024-07-10 10:18:37,79b42322-bc90-4058-94dd-e1fa4cfb390a
75,WP1 Identifying,2006-06-02,2006-10-31,f,34,1008000,,,2024-07-10 10:18:37,f6694dbe-a61f-4b1d-854d-600b15d6ae36
76,WP2 Promotion objectives,2006-07-01,2007-01-31,f,34,1008000,,,2024-07-10 10:18:37,356c68ee-2269-4ab7-aeca-bfd3632cf973
19,WP2 Stimulation SME,2004-01-11,2006-06-30,f,16,,,,2024-07-10 10:18:37,a31734ee-1909-4d86-99f0-a68b7ef083f1
11,Hauptpaket,2004-09-01,2006-08-31,f,12,1080000,,,2024-07-10 10:18:37,1bbba3f2-f830-49a1-a2de-527fc90c65be
20,WP5 Dissemination,2006-01-01,2006-06-30,f,16,,,,2024-07-10 10:18:37,aae6bf45-80d3-4979-b64b-09a3da9e80c1
40,Nanomat 2006,2006-01-01,2006-06-17,f,27,,,,2024-07-10 10:18:37,a562210a-e976-4273-a7ed-0ade22338b62
46,WP4: Knowledge transfer,2006-05-01,2008-04-30,f,28,608400,,,2024-07-10 10:18:37,b9441dc3-12a9-4bbb-8d76-cda389c5bf9c
85,WP1,2006-11-01,2007-12-31,f,38,2394000,,,2024-07-10 10:18:37,87a2bc22-e9a2-4d4d-843e-89292f321c41
52,Hauptprojekt,2006-06-01,2008-05-31,f,29,11520000,,,2024-07-10 10:18:37,b359a879-6829-4c69-89ad-39dab20b48f0
127,WP 6 Project Management,2005-12-18,2007-06-17,f,42,151200,,,2024-07-10 10:18:37,e152653c-cba9-4131-9592-db06a2dc3759
118,WP INNO 2 Dissemination,2007-07-01,2011-06-30,f,41,5418000,,,2024-07-10 10:18:37,3e4e17c3-2814-4734-b4af-954f9106a934
88,WP3,2006-11-01,2007-12-31,f,38,1033200,,,2024-07-10 10:18:37,f8313d4e-8cae-4e24-9e7c-337075d0cf2e
106,WP 3 Joint projects,2005-12-18,2008-05-31,f,42,1800000,,,2024-07-10 10:18:37,36b92f4d-e1dd-4f09-b697-3a9e26d81122
100,WP4 Road Maps Develop.,2007-01-01,2008-12-31,f,40,604800,,,2024-07-10 10:18:37,56d4395e-d2f1-4e5c-8862-f48004742f44
82,Regstrat management,2006-01-01,2008-05-31,f,19,,,,2024-07-10 10:18:37,c4798ec0-b18c-4827-b76d-7ee35d178847
50,WP8: Recommendations,2007-08-01,2008-04-30,f,28,1764000,,,2024-07-10 10:18:37,ec760e4e-1b59-476c-b02f-72510ee7dd4d
2611,WP0 GK,2018-01-01,2018-12-31,f,329,,8,,2024-07-10 10:18:37,f11d37c2-05e5-42ca-854e-38b79d3dc0f8
159,WP5 Coordination,2007-12-01,2009-11-30,f,57,1728000,,,2024-07-10 10:18:37,6601e163-b84c-4171-9946-f389f584c51c
97,WP6 Management,2006-01-01,2008-12-31,f,21,756000,,,2024-07-10 10:18:37,e2325d0d-8c65-471e-b02f-b3f2fffa13ca
109,Elfe,2006-01-01,2008-12-31,f,44,,,,2024-07-10 10:18:37,a8ab1ff2-9480-4062-a54d-48941005be27
112,Craft,2006-01-01,2008-12-31,f,44,,,,2024-07-10 10:18:37,79ba1ade-5f3a-437a-b842-53b5e0e3459f
48,WP6: Matching RTD projects,2007-05-01,2008-04-30,f,28,3276000,,,2024-07-10 10:18:37,a998dc25-364e-4665-a9a7-e969d6d5fd7b
51,WP9: Management,2006-05-01,2008-04-30,f,28,2167200,,,2024-07-10 10:18:37,28af0a12-9753-4008-a420-31ed488d183a
153,A,2008-01-01,2009-06-30,f,56,2520000,,,2024-07-10 10:18:37,3c25a740-1216-4007-a54a-0b26d3d1e6de
94,WP6 Management,2006-12-01,2006-05-31,f,39,2217600,,,2024-07-10 10:18:37,162a842b-f387-475e-baf6-40bc64f9a9dc
91,WP3 Implementation of WE,2007-11-01,2009-03-31,f,39,378000,,,2024-07-10 10:18:37,c7ee3b71-e9ed-420d-97bf-e828f102a406
49,WP7: Transc. Learning,2006-12-01,2008-04-30,f,28,435600,,,2024-07-10 10:18:37,a1946aa6-f908-4b0d-a111-08de3098cacd
115,WP3 Monitoring+Reporting,2007-04-04,2008-04-03,f,45,2160000,,,2024-07-10 10:18:37,4eec3f65-13f7-4dc2-9c61-6f780470bbac
47,WP5: Information events,2007-05-01,2008-04-30,f,28,1512000,,,2024-07-10 10:18:37,8d4aab2e-0cb8-40ff-980b-d05377cde4ae
86,WP2,2006-11-01,2007-12-31,f,38,1134000,,,2024-07-10 10:18:37,35e0f5c5-910e-4a88-8b59-b637f2a85399
98,WP2 Foresight Meth. Definition,2007-01-01,2008-12-31,f,40,504000,,,2024-07-10 10:18:37,8ad8a6cb-0817-48e5-aa32-3ea4e28c521b
154,B,2008-01-01,2009-06-30,f,56,111600000,,,2024-07-10 10:18:37,3d69ac54-3f91-43ab-aa57-4ba0734f7379
83,Upris management,2005-06-01,2008-01-31,f,22,,,,2024-07-10 10:18:37,229921d4-9a55-4045-9a2b-b092eb2cc792
53,WP 6 Engagement,2006-07-15,2008-01-15,f,13,3376800,,,2024-07-10 10:18:37,44ff0771-aa8f-483e-8bb9-f387f53f2390
23,Mismec,2004-01-01,2006-06-12,f,18,,,,2024-07-10 10:18:37,74d02904-e419-4c3d-b479-16946a1ad945
24,Nanomat,2004-01-01,2006-06-12,f,18,,,,2024-07-10 10:18:37,43128ea0-0b6f-420f-942c-4cc40278f770
157,WP 4 Interface with ETPs,2008-01-15,2008-04-14,f,13,1008000,,,2024-07-10 10:18:37,10f19c1b-e4a8-44f4-aaad-0462d5f3a23a
181,WM Buczek,2008-10-22,2009-02-27,f,64,1800000,,,2024-07-10 10:18:37,d2cdc33b-af93-4174-9176-0db908fc2fbf
103,WP INNO 1 Knowledge Management,2007-01-01,2011-06-30,f,41,13978800,,,2024-07-10 10:18:37,7ff85427-183c-44ad-a63b-0856aea92287
117,Fachtagung,2007-01-01,2007-07-31,f,46,2880000,1,,2024-07-10 10:18:37,c0e041dc-56d4-4210-b9df-4332d6a1a847
466,MWK KA  2015,2015-01-01,2015-12-31,f,185,,2,,2024-07-10 10:18:37,1902e59a-9e7f-45b3-8e79-a917d34ea215
132,WM Cluster/4-Motoren,2007-01-01,2010-12-31,f,49,1512000,,,2024-07-10 10:18:37,5e933e22-756a-4476-a5a7-e6b6405092ee
120,WP MANAGE Project Management,2007-01-01,2011-08-31,f,41,12096000,,,2024-07-10 10:18:37,e10c1404-121d-41b6-9502-a9b8e7491265
518,Antrag CTC Cartech (Michaux),2015-01-01,2015-12-31,f,100,,2,,2024-07-10 10:18:37,a95a8c66-4084-41e3-996f-04ebb54a6daa
187,Interreg-WM 2009,2009-06-02,2010-07-31,f,69,12600000,,,2024-07-10 10:18:37,433dc059-83d7-43ce-a98c-cb2e607b06f2
156,RTD,2008-01-01,2011-05-31,f,35,,,,2024-07-10 10:18:37,2cd2d9e4-a986-4603-9aff-34de51ebd897
539,KA 2015,2015-01-01,2015-12-31,f,217,,2,,2024-07-10 10:18:37,053a2932-2eb4-4415-bcef-c0664e5e2c46
191,FemENA-DE,2009-08-01,2011-07-31,f,72,6480000,,,2024-07-10 10:18:37,967d7b7d-8bf0-4321-bc16-6a08975e4a4e
135,WP2 Assessment,2008-07-01,2009-01-31,f,52,1512000,1,,2024-07-10 10:18:37,044dcbb1-4ff3-49cc-9be6-07e4f3f2ed57
2281,Q1,2018-01-01,2018-03-31,f,305,,8,1148,2024-07-10 10:18:37,f404783e-c48d-4925-81be-01a2405be79e
138,WP5 PM,2008-02-01,2010-05-31,f,52,2520000,1,,2024-07-10 10:18:37,6648af0b-bee6-4354-884e-2fd99098eb1d
137,WP4 Dissemination,2008-02-01,2010-05-31,f,52,1890000,1,,2024-07-10 10:18:37,2accfe82-4066-4b80-a2cd-c01364ec3263
134,WP1 Identification,2008-02-01,2008-09-30,f,52,1663200,1,,2024-07-10 10:18:37,a8d193c7-0405-4ea2-95c0-5c168fae7456
170,WP2 Mobilisation,2008-12-01,2010-10-31,f,74,3312000,1,,2024-07-10 10:18:37,6ca4c79d-ed2c-4ee4-995a-b741862c7fe2
