dpr_id,dpr_start,dpr_end,dpr_target_hours,dpr_title,dpr_blockbefore,dpr_number,dpr_funding_rate,dpr_virtual,dpr_dow,lpc_id,du_id,update_timestamp,dpr_uuid
761,2024-10-01,2028-09-30,,pHYBi,,720878,100,FALSE,,24,280,2025-10-15T07:04:13Z,03b4ed0b-b700-4627-8680-c810fa741e27
202,2010-01-01,2100-12-31,,Gemeinkosten S2i,,1,,TRUE,,21,11,2025-09-23T16:15:54Z,22c69111-24e9-40eb-b2c0-7a53df5b246f
530,2020-10-01,2025-09-30,,ISLANDER (mit MwSt),,720647,100,FALSE,,8,27,2025-10-15T07:05:15Z,d46df887-f967-4661-a54c-2724c8a566ab
627,2022-06-01,2025-11-30,,Distender,,720744,100,FALSE,,24,331,2025-10-14T15:48:42Z,2155514d-5a9f-4d25-8e01-c854da3a8711
571,2021-05-01,2025-04-30,,FlashPhos (mit MwSt),,720688,100,FALSE,,8,53,2025-10-14T07:22:50Z,8da06837-702e-43cb-b1f4-93751d3641b8
573,2022-01-01,2025-06-30,,Enterprise Europe Network 2022 - 2024: Expert Contract,,720690,100,FALSE,,20,18,2025-07-30T08:55:10Z,1f769c80-7149-4375-8193-c10d56799798
720,2024-01-01,2027-12-31,,metaCCAZE (mit MwSt.),,720837,100,FALSE,,24,149,2025-09-08T09:15:36Z,a3f1a556-0d78-4254-84a2-44f065e12040
725,2024-01-01,2026-12-31,,HARMONY (mit MwSt),,720842,100,FALSE,,24,54,2025-10-14T07:35:00Z,b8a3f4c8-e1f8-4eff-9208-d72d30479da8
626,2022-07-01,2026-06-30,,REEsilience (mit MwSt.),,720743,100,FALSE,,24,54,2025-10-14T07:35:30Z,32ed1821-6c25-4e79-8611-cef0d1d8ff86
631,2022-09-01,2026-02-28,,EARASHI (inkl. MwSt.),,720748,100,FALSE,,24,90,2025-10-15T08:41:57Z,2413f56c-e2cf-4b86-bcb9-b8744f6ce290
623,2022-09-01,2025-08-31,,ROBIN,,720740,100,FALSE,,24,164,2025-10-20T12:40:45Z,6e73f3fd-e88a-42e9-b564-c279ac8097d4
592,2021-10-01,2027-03-31,,OpenLab (inkl. MwSt),,720709,100,FALSE,,8,339,2025-10-22T08:37:48Z,c0165b23-f8bb-4fb9-919c-4f9adf1097b1
568,2021-06-01,2026-05-31,,Hydro4U (mit MwSt),,720685,100,FALSE,,8,24,2025-09-08T09:14:23Z,332aff4b-f433-441f-950b-df64b3cb30e7
719,2024-01-01,2028-12-31,,MOBILITIES (mit MwSt),,720836,100,FALSE,,24,388,2025-09-08T09:14:55Z,12ebb46f-04c8-416e-9a96-faf7145f9a3e
557,2021-01-01,2026-01-31,,METABUILDING LABS (mit MwSt),,720674,100,FALSE,,8,54,2025-10-14T15:54:09Z,96d1ea5f-d9c4-4034-93d0-8d9167a87f73
