dwt_id,du_id,month,work_secs,sum_alloc,diff,abs_diff,ratio
310,37,2006-05-01,0,10800,-10800,10800,
3250,8,2007-02-01,0,14400,-14400,14400,
9853,21,2008-01-01,0,28800,-28800,28800,
11095,32,2008-03-01,0,14400,-14400,14400,
28777,36,2010-08-01,0,10800,-10800,10800,
30752,41,2010-11-01,0,14400,-14400,14400,
31955,52,2011-01-01,0,28800,-28800,28800,
31956,52,2011-01-01,0,28800,-28800,28800,
31957,52,2011-01-01,0,28800,-28800,28800,
31958,52,2011-01-01,0,28800,-28800,28800,
31959,52,2011-01-01,0,28800,-28800,28800,
31960,52,2011-01-01,0,28800,-28800,28800,
31961,52,2011-01-01,0,28800,-28800,28800,
31962,52,2011-01-01,0,28800,-28800,28800,
31963,52,2011-01-01,0,28800,-28800,28800,
31964,52,2011-01-01,0,28800,-28800,28800,
31965,52,2011-01-01,0,28800,-28800,28800,
31966,52,2011-01-01,0,28800,-28800,28800,
31995,52,2010-12-01,0,30600,-30600,30600,
33318,7,2011-03-01,0,22500,-22500,22500,
35160,37,2011-06-01,0,29700,-29700,29700,
35233,22,2011-06-01,0,21600,-21600,21600,
35234,22,2011-06-01,0,7200,-7200,7200,
35237,22,2011-06-01,0,14400,-14400,14400,
35238,22,2011-06-01,0,28800,-28800,28800,
35321,7,2011-05-01,0,26100,-26100,26100,
35368,7,2011-05-01,0,31500,-31500,31500,
35376,7,2011-05-01,0,26100,-26100,26100,
35403,7,2011-05-01,0,24300,-24300,24300,
35482,7,2011-05-01,0,25200,-25200,25200,
35483,7,2011-05-01,0,26100,-26100,26100,
35539,7,2011-05-01,0,27000,-27000,27000,
35660,7,2011-05-01,0,26100,-26100,26100,
35661,7,2011-05-01,0,26100,-26100,26100,
35663,7,2011-02-01,0,34500,-34500,34500,
35674,34,2011-06-01,0,28800,-28800,28800,
35694,7,2011-05-01,0,23700,-23700,23700,
35725,15,2011-05-01,0,14400,-14400,14400,
35726,45,2011-05-01,0,32400,-32400,32400,
35727,58,2011-05-01,0,27900,-27900,27900,
35728,53,2011-05-01,0,28800,-28800,28800,
35729,7,2011-05-01,0,34200,-34200,34200,
35730,33,2011-05-01,0,25200,-25200,25200,
35731,33,2011-05-01,0,28800,-28800,28800,
35732,22,2011-05-01,0,25200,-25200,25200,
35733,22,2011-05-01,0,32400,-32400,32400,
35734,10,2011-05-01,0,9000,-9000,9000,
35735,19,2011-06-01,0,14400,-14400,14400,
35737,36,2011-05-01,0,25200,-25200,25200,
35738,36,2011-03-01,0,28800,-28800,28800,
35739,10,2011-06-01,0,16200,-16200,16200,
35740,15,2011-06-01,0,16200,-16200,16200,
35741,34,2011-06-01,0,28800,-28800,28800,
35742,24,2011-06-01,0,28800,-28800,28800,
35743,24,2011-05-01,0,28800,-28800,28800,
35744,36,2011-06-01,0,28800,-28800,28800,
35745,11,2011-06-01,0,31500,-31500,31500,
35746,58,2011-06-01,0,29700,-29700,29700,
35747,45,2011-06-01,0,27000,-27000,27000,
35748,56,2011-05-01,0,28800,-28800,28800,
35749,56,2011-05-01,0,28800,-28800,28800,
35750,56,2011-06-01,0,36000,-36000,36000,
35752,7,2011-06-01,0,30600,-30600,30600,
35753,30,2011-06-01,0,34200,-34200,34200,
35754,30,2011-05-01,0,14400,-14400,14400,
35755,49,2011-06-01,0,28800,-28800,28800,
35756,49,2011-05-01,0,28800,-28800,28800,
35757,49,2011-05-01,0,28800,-28800,28800,
35758,41,2011-06-01,0,31800,-31800,31800,
35759,11,2011-06-01,0,27000,-27000,27000,
35760,45,2011-06-01,0,29700,-29700,29700,
35761,36,2011-06-01,0,27900,-27900,27900,
35762,58,2011-06-01,0,28800,-28800,28800,
35763,41,2011-06-01,0,25800,-25800,25800,
35764,54,2011-05-01,0,28800,-28800,28800,
35765,54,2011-05-01,0,28800,-28800,28800,
35766,54,2011-05-01,0,28800,-28800,28800,
35767,54,2011-05-01,0,28800,-28800,28800,
35768,54,2011-05-01,0,28800,-28800,28800,
35769,54,2011-05-01,0,28800,-28800,28800,
35770,54,2011-05-01,0,28800,-28800,28800,
35771,54,2011-05-01,0,28800,-28800,28800,
35772,54,2011-05-01,0,28800,-28800,28800,
35773,54,2011-06-01,0,28800,-28800,28800,
35774,54,2011-06-01,0,28800,-28800,28800,
35775,49,2011-06-01,0,28800,-28800,28800,
35776,19,2011-06-01,0,37800,-37800,37800,
35777,19,2011-06-01,0,45000,-45000,45000,
35781,19,2011-06-01,0,18000,-18000,18000,
35782,34,2011-06-01,0,31500,-31500,31500,
35783,30,2011-06-01,0,7200,-7200,7200,
