du_id,dwp_id,wp_title,hours
4,4570,WP6 Management 2024,42
21,4567,WP3 Set up 2024,50
27,4568,WP4 Evaluation 2024,50
27,4811,WP3 Set up 2025,155
83,4567,WP3 Set up 2024,169.5
83,4812,WP4 Evaluation 2025,50
83,4813,"WP5 Diss, Expl, Comm 2025",65
110,4812,WP4 Evaluation 2025,80
132,4567,WP3 Set up 2024,148
132,4813,"WP5 Diss, Expl, Comm 2025",75
164,4567,WP3 Set up 2024,249
164,4568,WP4 Evaluation 2024,68
164,4569,"WP5 Diss, Expl, Comm 2024",98
164,4570,WP6 Management 2024,7
164,4811,WP3 Set up 2025,105
164,4812,WP4 Evaluation 2025,107
164,4813,"WP5 Diss, Expl, Comm 2025",42
164,4814,WP6 Management 2025,19.5
182,4567,WP3 Set up 2024,80
182,4568,WP4 Evaluation 2024,50
318,4567,WP3 Set up 2024,300
318,4568,WP4 Evaluation 2024,170
318,4569,"WP5 Diss, Expl, Comm 2024",100
335,4567,WP3 Set up 2024,107
335,4568,WP4 Evaluation 2024,220
335,4569,"WP5 Diss, Expl, Comm 2024",100
